TEAM,GAME,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,ELO
8,33,36,86,0.419,16,34,0.471,17,22,0.773,12,27,39,24,4,2,12,25,1620
8,34,41,91,0.451,5,19,0.263,27,29,0.931,15,36,51,22,7,5,16,16,1623
8,35,44,78,0.564,5,16,0.313,28,37,0.757,8,26,34,28,7,2,13,21,1623
8,36,37,83,0.446,9,17,0.529,25,31,0.806,17,36,53,26,6,3,17,16,1624
8,37,41,81,0.506,5,11,0.455,18,24,0.75,9,25,34,22,4,4,7,14,1633
8,38,47,83,0.566,9,16,0.563,8,11,0.727,8,24,32,20,9,2,11,14,1631
8,39,37,93,0.398,9,26,0.346,20,27,0.741,12,28,40,19,7,3,11,24,1623
8,40,44,84,0.524,10,24,0.417,7,15,0.467,17,28,45,27,9,7,15,17,1639
8,41,43,86,0.5,5,21,0.238,17,23,0.739,17,29,46,25,5,9,13,16,1641
8,42,45,84,0.536,8,19,0.421,19,23,0.826,13,28,41,35,8,4,13,18,1641
8,43,32,69,0.464,7,17,0.412,28,32,0.875,6,37,43,20,8,8,18,16,1650
8,44,43,99,0.434,7,22,0.318,17,23,0.739,11,31,42,19,4,9,12,26,1624
8,45,48,95,0.505,10,27,0.37,26,33,0.788,19,34,53,23,5,7,12,25,1631
8,46,44,82,0.537,4,16,0.25,23,28,0.821,12,26,38,18,8,3,14,19,1636
8,47,44,84,0.524,7,16,0.438,31,36,0.861,13,39,52,25,6,8,16,23,1644
8,48,45,89,0.506,7,17,0.412,18,23,0.783,10,35,45,25,6,7,4,20,1648
8,49,42,88,0.477,9,22,0.409,17,29,0.586,12,30,42,21,12,3,11,24,1656
8,50,43,88,0.489,3,20,0.15,12,16,0.75,12,30,42,25,7,5,6,16,1676
8,51,45,99,0.455,5,20,0.25,10,17,0.588,16,40,56,21,7,4,13,18,1676
8,52,42,90,0.467,5,19,0.263,20,26,0.769,13,26,39,18,10,2,13,28,1670
8,53,42,96,0.438,7,21,0.333,5,10,0.5,28,39,67,30,6,9,23,23,1674
8,54,46,92,0.5,9,21,0.429,28,33,0.848,18,25,43,33,10,4,14,17,1678
8,55,38,92,0.413,7,21,0.333,32,38,0.842,12,41,53,26,5,3,10,22,1679
8,56,43,82,0.524,5,13,0.385,20,27,0.741,4,32,36,32,12,3,15,20,1681
8,57,41,78,0.526,7,15,0.467,18,23,0.783,3,27,30,21,10,3,11,21,1684
8,58,54,94,0.574,9,20,0.45,15,20,0.75,14,35,49,38,13,7,16,22,1692
8,59,28,94,0.298,2,21,0.095,21,27,0.778,22,31,53,14,7,1,14,28,1684
8,60,42,94,0.447,8,26,0.308,19,20,0.95,15,28,43,19,12,4,15,32,1676
8,61,40,90,0.444,4,16,0.25,15,21,0.714,18,26,44,28,13,13,10,21,1676
8,62,41,84,0.488,8,19,0.421,20,26,0.769,6,35,41,23,8,13,4,21,1677
8,63,36,82,0.439,8,24,0.333,14,16,0.875,11,27,38,22,6,4,13,25,1663
8,64,43,86,0.5,2,11,0.182,14,20,0.7,11,25,36,17,15,4,12,18,1671
8,65,43,83,0.518,4,9,0.444,12,15,0.8,11,31,42,17,9,6,11,14,1683
8,66,42,80,0.525,8,22,0.364,15,22,0.682,14,35,49,22,8,8,16,22,1685
8,67,37,74,0.5,7,18,0.389,12,15,0.8,10,33,43,28,5,5,18,19,1671
8,68,45,90,0.5,8,16,0.5,16,20,0.8,11,39,50,24,8,7,22,21,1672
8,69,45,91,0.495,11,21,0.524,16,28,0.571,14,25,39,22,16,3,10,24,1678
8,70,43,86,0.5,5,13,0.385,16,17,0.941,9,32,41,24,10,4,13,17,1682
8,71,35,77,0.455,6,18,0.333,16,19,0.842,7,32,39,24,8,1,13,17,1691
